ImageID,LabelName,Confidence,XMin,XMax,YMin,YMax,ClassName
./images_openimages/train/5597a7ce89e452f2.jpg,/m/0dtln,1.0,0.245902,0.662763,0.017188,0.567187,Lamp
./images_openimages/train/6f87a23baa88d631.jpg,/m/01g317,1.0,0.33928600000000003,0.400132,0.472472,0.718719,Person
./images_openimages/train/3f27eb68de12dd93.jpg,/m/0dtln,1.0,0.4940850000000001,0.5469729999999999,0.986875,0.999375,Lamp
./images_openimages/train/27631b119855203b.jpg,/m/01mqdt,1.0,0.3025,0.60875,0.232864,0.803756,Traffic sign
./images_openimages/train/4006fdaab042fb5e.jpg,/m/0dtln,1.0,0.366288,0.47731,0.5575,0.928125,Lamp
./images_openimages/train/9249046fbc14a11f.jpg,/m/04dr76w,1.0,0.82125,0.8375,0.358209,0.45709,Bottle
./images_openimages/train/014fa5295bb897b7.jpg,/m/025dyy,1.0,0.0,0.999375,0.0,0.999061,Box
./images_openimages/train/608ecf7c8f82cc43.jpg,/m/0dtln,1.0,0.226562,0.378125,0.053125,0.320312,Lamp
./images_openimages/train/23e94ce1b3d7a97c.jpg,/m/0dtln,1.0,0.020536,0.213393,0.550625,0.999375,Lamp
./images_openimages/train/0f932a22f7b3dea6.jpg,/m/050gv4,1.0,0.396,0.9990000000000001,0.5442279999999999,0.998501,Plate
./images_openimages/train/4294f33ca3da1471.jpg,/m/0k4j,1.0,0.0,0.9990000000000001,0.0,0.999333,Car
./images_openimages/train/e292d29d900af95d.jpg,/m/0dtln,1.0,0.691875,0.80625,0.536488,0.746592,Lamp
./images_openimages/train/49744a5ed834195a.jpg,/m/0k4j,1.0,0.498125,0.6175,0.472275,0.619503,Car
./images_openimages/train/c639097cf2d5a89b.jpg,/m/01n4qj,1.0,0.376526,0.980282,0.413125,0.999375,Shirt
./images_openimages/train/9de72ab007f3b0e0.jpg,/m/032b3c,1.0,0.263125,0.579375,0.2875,0.839167,Jacket
./images_openimages/train/a16830ce1652755a.jpg,/m/015p6,1.0,0.427435,0.690855,0.266766,0.90462,Bird
./images_openimages/train/f340805214bcdcee.jpg,/m/01g317,1.0,0.568125,0.903125,0.213808,0.998886,Person
./images_openimages/train/b1a991bd27faa3fa.jpg,/m/025dyy,1.0,0.0,0.13625,0.0,0.349906,Box
./images_openimages/train/c9fff30f775b51ca.jpg,/m/025dyy,1.0,0.54375,0.98875,0.378333,0.968333,Box
./images_openimages/train/1bd1d643a12ce110.jpg,/m/0dtln,1.0,0.104167,0.673333,0.0,0.613125,Lamp
./images_openimages/train/37c959c7ba82bc7e.jpg,/m/018xm,1.0,0.383125,0.49125,0.476548,0.6482180000000001,Ball
./images_openimages/train/b201221f03069371.jpg,/m/050gv4,1.0,0.5475,0.9475,0.771667,0.996667,Plate
./images_openimages/train/01b473e0d83115bb.jpg,/m/01g317,1.0,0.0,0.67875,0.058161,0.9606,Person
./images_openimages/train/4566de841628df56.jpg,/m/01x3z,1.0,0.205,0.228125,0.831667,0.924167,Clock
./images_openimages/train/830eae08ddcd68aa.jpg,/m/01mqdt,1.0,0.29,0.530625,0.371482,0.732645,Traffic sign
./images_openimages/train/b6b16139fd575811.jpg,/m/050gv4,1.0,0.378125,0.72,0.6135079999999999,0.969043,Plate
